t,scout_x,scout_y,scout_z,mship_x,mship_y,mship_z,sv_x,sv_y,sv_z,mv_x,mv_y,mv_z,r_rel_x,r_rel_y,r_rel_z,v_rel_x,v_rel_y,v_rel_z,lat_err_m,range_to_pad_m,aligned,docked,phase
3.8750,-0.21078,1.19092,1.11457,-0.20651,1.18210,1.01895,-0.53335,-0.09722,0.41646,-0.53194,-0.09293,0.54169,0.01795,0.01287,0.07827,-0.00279,0.00554,-0.06409,0.022091,0.096121,1,0,DESCENDING
3.9167,-0.23292,1.18647,1.12921,-0.22864,1.17802,1.04005,-0.53142,-0.10687,0.35143,-0.53011,-0.10289,0.47066,0.01786,0.01290,0.07452,-0.00325,0.00566,-0.05420,0.022029,0.089663,1,0,DESCENDING
3.9583,-0.25497,1.18159,1.14101,-0.25068,1.17352,1.05813,-0.52912,-0.11709,0.28301,-0.52809,-0.11281,0.39674,0.01776,0.01294,0.07108,-0.00334,0.00594,-0.04530,0.021975,0.083375,1,0,DESCENDING
4.0000,-0.27690,1.17628,1.14983,-0.27264,1.16862,1.07308,-0.52638,-0.12730,0.21168,-0.52588,-0.12269,0.32037,0.01767,0.01297,0.06793,-0.00324,0.00560,-0.03736,0.021920,0.077245,1,0,DESCENDING
4.0417,-0.29876,1.17059,1.15558,-0.29450,1.16330,1.08480,-0.52447,-0.13652,0.13798,-0.52348,-0.13253,0.24202,0.01760,0.01298,0.06502,-0.00289,0.00523,-0.03033,0.021872,0.071275,1,0,DESCENDING
4.0833,-0.32052,1.16450,1.15818,-0.31626,1.15757,1.09323,-0.52233,-0.14616,0.06242,-0.52091,-0.14232,0.16218,0.01751,0.01302,0.06235,-0.00356,0.00580,-0.02420,0.021819,0.065456,1,0,DESCENDING
4.1250,-0.34215,1.15801,1.15757,-0.33791,1.15144,1.09830,-0.51906,-0.15593,-0.01446,-0.51815,-0.15206,0.08134,0.01739,0.01306,0.05987,-0.00418,0.00590,-0.01892,0.021752,0.059783,1,0,DESCENDING
4.1667,-0.36366,1.15112,1.15374,-0.35944,1.14490,1.10000,-0.51642,-0.16539,-0.09212,-0.51521,-0.16175,0.00000,0.01729,0.01310,0.05757,-0.00385,0.00581,-0.01446,0.021697,0.054259,1,0,DESCENDING
4.2083,-0.38506,1.14380,1.14665,-0.38084,1.13796,1.09830,-0.51353,-0.17554,-0.17003,-0.51208,-0.17138,-0.08134,0.01718,0.01315,0.05543,-0.00434,0.00599,-0.01078,0.021636,0.048881,1,0,DESCENDING
4.2500,-0.40631,1.13610,1.13633,-0.40211,1.13062,1.09323,-0.51008,-0.18495,-0.24766,-0.50878,-0.18095,-0.16218,0.01705,0.01318,0.05342,-0.00475,0.00541,-0.00785,0.021550,0.043653,1,0,DESCENDING
4.2917,-0.42741,1.12800,1.12281,-0.42324,1.12288,1.08480,-0.50623,-0.19426,-0.32447,-0.50530,-0.19046,-0.24202,0.01692,0.01321,0.05153,-0.00478,0.00551,-0.00564,0.021470,0.038579,1,0,DESCENDING
4.3333,-0.44834,1.11951,1.10615,-0.44422,1.11475,1.07308,-0.50244,-0.20384,-0.39994,-0.50164,-0.19990,-0.32037,0.01681,0.01325,0.04973,-0.00459,0.00563,-0.00410,0.021403,0.033662,1,0,DESCENDING
4.3750,-0.46912,1.11062,1.08642,-0.46504,1.10623,1.05813,-0.49872,-0.21339,-0.47356,-0.49780,-0.20927,-0.39674,0.01670,0.01328,0.04802,-0.00464,0.00543,-0.00320,0.021334,0.028912,1,0,DESCENDING
4.4167,-0.48972,1.10133,1.06372,-0.48570,1.09731,1.04005,-0.49426,-0.22284,-0.54485,-0.49379,-0.21856,-0.47066,0.01658,0.01330,0.04636,-0.00493,0.00518,-0.00290,0.021253,0.024335,1,0,DESCENDING
